Ref,Qnty,Value,Digkey_PN,Qnty_Mul
"C1, C4, C5, C6, C7, C8, C9, C12, C13, C17, C19, C22, C23, C24, ",14,0.1uF,1276-6844-1-ND,42
"C10, C11, C14, C15, ",4,220p,311-1416-1-ND,12
"C16, C20, ",2,10uF,1276-6830-1-ND,6
"C18, ",1,10nF,445-6850-1-ND,3
"C21, ",1,47uF,490-14660-1-ND,3
"D1, ",1,LED_ARGB,1497-XZCMEDGCBD110WCT-ND,3
"FB1, ",1,600 Ohm,490-1006-1-ND,3
"J1, ",1,Conn_02x04_Counter_Clockwise,732-5373-ND,3
"J2, ",1,U.FL-R-SMT(01),H9161-ND,3
"J3, ",1,Conn_02x04_Odd_Even,A121768-ND,3
"J4, ",1,2908-05WB-MG,3M5607CT-ND,3
"JP1, ",1,Jumper,A121364-ND,3
"JP2, ",1,Jumper_NC_Dual,TSW-101-07-T-T-ND,3
"L1, ",1,22uH,732-3340-1-ND,3
"R1, R3, R22, ",3,0,2019-RK73Z1ETTPCT-ND,9
"R2, R4, R5, R6, ",4,1.5k,311-1.50KLRCT-ND,12
"R7, R8, R23, R29, ",2,1M 0.1%,P1.00MLCT-ND,6
"R9, R10, ",2,10k 0.1%,2037-PFR05S-103-FNHCT-ND,6
"R11, R12, R15, R16, R17, R18, ",6,90.9k 0.1%,RR05P90.9KDCT-ND,18
"R13, R14, ",2,632k 0.1%,RMCF0402FT634KCT-ND,6
"R19, ",1,10M,10-ERJ-U03J106VCT-ND,3
"R20, ",1,909k,2019-RK73H1JTTD9093FCT-ND,3
"R21, ",1,3.83M,541-3.83MHCT-ND,3
"R24, R25, ",2,10M,A130072CT-ND,6
"R26, ",1,6.04M,541-CRCW04026M04FKEDCT-ND,3
"R27, ",1,1.05M,RMCF0603FT1M05CT-ND,3
"R28, ",1,2.94M,541-2.94MLCT-ND,3
"R30, ",1,590k 1%,YAG3192CT-ND,3
"S1, S2, ",2,KMR742NGLFS,CKN10689CT-ND,6
"SC1, ",1,Solar_Cell,SM141K10LV-ND,3
"U2, ",1,INA2321EA_250,INA2321EACT-ND,3
"U3, U4, ",2,OPA2349EA_250OPA2349EACT-ND,,6
"U5, ",1,SPV1050TTR,497-15978-1-ND,3
